iter	Passed	Remaining
409	4213	6062
410	4223	6052
411	4233	6041
412	4243	6031
413	4253	6020
414	4263	6009
415	4273	5999
416	4284	5990
417	4296	5982
418	4306	5971
419	4316	5960
420	4327	5951
421	4339	5943
422	4349	5933
423	4359	5922
424	4369	5911
425	4379	5901
426	4389	5890
427	4399	5880
428	4409	5868
429	4418	5856
430	4428	5846
431	4438	5835
432	4450	5828
433	4460	5817
434	4470	5806
435	4479	5794
436	4489	5784
437	4499	5773
438	4509	5762
439	4519	5751
440	4529	5740
441	4539	5730
442	4548	5719
443	4558	5708
444	4568	5697
445	4577	5686
446	4587	5675
447	4597	5664
448	4608	5655
449	4618	5645
450	4628	5634
451	4638	5623
452	4647	5612
453	4657	5600
454	4666	5590
455	4676	5579
456	4686	5568
457	4696	5558
458	4706	5547
459	4716	5537
460	4726	5526
461	4736	5515
462	4744	5503
463	4754	5491
464	4763	5480
465	4772	5468
466	4781	5456
467	4790	5445
468	4799	5433
469	4808	5422
470	4818	5411
471	4827	5400
472	4836	5388
473	4846	5377
474	4855	5366
475	4864	5355
476	4873	5343
477	4882	5332
478	4891	5320
479	4900	5309
480	4909	5297
481	4919	5287
482	4929	5276
483	4939	5265
484	4949	5255
485	4958	5244
486	4967	5232
487	4977	5222
488	4986	5210
489	4995	5199
490	5004	5187
491	5013	5176
492	5022	5164
493	5031	5154
494	5041	5142
495	5050	5131
496	5060	5121
497	5068	5109
498	5077	5098
499	5086	5086
500	5095	5075
501	5104	5063
502	5113	5052
503	5122	5041
504	5131	5029
505	5141	5019
506	5150	5008
507	5159	4996
508	5168	4985
509	5177	4974
510	5186	4963
511	5195	4952
512	5205	4941
513	5214	4930
514	5223	4919
515	5233	4908
516	5242	4897
517	5252	4887
518	5261	4876
519	5270	4865
520	5280	4854
521	5289	4843
522	5298	4832
523	5307	4821
524	5315	4809
525	5324	4798
526	5333	4787
527	5343	4776
528	5352	4765
529	5361	4754
530	5370	4743
531	5379	4732
532	5388	4721
533	5397	4710
534	5406	4699
535	5415	4687
536	5424	4677
537	5434	4666
538	5443	4655
539	5452	4644
540	5462	4634
541	5470	4623
542	5479	4611
543	5488	4600
544	5498	4590
545	5507	4579
546	5516	4568
547	5526	4557
548	5535	4547
549	5544	4536
550	5554	4525
551	5563	4515
552	5572	4504
553	5581	4493
554	5590	4482
555	5600	4472
556	5610	4462
557	5619	4451
558	5628	4440
559	5637	4429
560	5646	4418
561	5655	4407
562	5664	4397
563	5674	4386
564	5683	4375
565	5692	4364
566	5701	4353
567	5710	4343
568	5719	4332
569	5728	4321
570	5737	4310
571	5747	4300
572	5757	4290
573	5766	4279
574	5775	4269
575	5785	4258
576	5794	4247
577	5803	4236
578	5812	4226
579	5821	4215
580	5830	4204
581	5839	4193
582	5848	4183
583	5857	4172
584	5866	4161
585	5875	4151
586	5885	4140
587	5894	4129
588	5903	4119
589	5912	4108
590	5922	4098
591	5932	4088
592	5941	4077
593	5950	4067
594	5959	4056
595	5969	4046
596	5979	4036
597	5987	4025
598	5996	4014
599	6006	4004
600	6015	3993
601	6024	3983
602	6033	3972
603	6042	3961
604	6051	3951
605	6060	3940
606	6070	3930
607	6080	3920
608	6089	3909
609	6098	3898
610	6107	3888
611	6116	3877
612	6126	3867
613	6135	3857
614	6144	3846
615	6153	3836
616	6162	3825
617	6171	3814
618	6181	3804
619	6191	3794
620	6200	3783
621	6208	3773
622	6217	3762
623	6227	3752
624	6236	3741
625	6245	3731
626	6254	3720
627	6263	3710
628	6272	3699
629	6281	3689
630	6291	3679
631	6300	3668
632	6309	3658
633	6318	3647
634	6327	3637
635	6337	3626
636	6346	3616
637	6355	3606
638	6364	3595
639	6373	3584
640	6381	3574
641	6391	3563
642	6400	3553
643	6410	3543
644	6420	3533
645	6428	3523
646	6437	3512
647	6447	3502
648	6456	3491
649	6465	3481
650	6474	3470
651	6483	3460
652	6492	3449
653	6502	3439
654	6511	3429
655	6521	3419
656	6530	3409
657	6539	3398
658	6548	3388
659	6558	3378
660	6567	3368
661	6576	3357
662	6585	3347
663	6594	3336
664	6603	3326
665	6612	3316
666	6622	3306
667	6631	3295
668	6640	3285
669	6649	3275
670	6658	3264
671	6667	3254
672	6676	3244
673	6686	3233
674	6695	3223
675	6704	3213
676	6714	3203
677	6724	3193
678	6734	3183
679	6743	3173
680	6753	3163
681	6763	3153
682	6773	3144
683	6784	3134
684	6794	3124
685	6805	3114
686	6814	3104
687	6825	3095
688	6834	3085
689	6844	3075
690	6856	3066
691	6867	3056
692	6876	3046
693	6886	3036
694	6896	3026
695	6907	3016
696	6917	3007
697	6927	2997
698	6937	2987
699	6946	2977
700	6955	2966
701	6965	2956
702	6974	2946
703	6983	2936
704	6992	2925
705	7001	2915
706	7010	2905
707	7019	2895
708	7030	2885
709	7039	2875
710	7049	2865
711	7059	2855
712	7068	2845
713	7077	2834
714	7086	2824
715	7095	2814
716	7104	2804
717	7113	2793
718	7122	2783
719	7131	2773
720	7141	2763
721	7153	2754
722	7165	2745
723	7176	2735
724	7187	2726
725	7199	2717
726	7209	2707
727	7220	2697
728	7230	2687
729	7240	2677
730	7250	2668
731	7260	2658
732	7271	2648
733	7281	2638
734	7291	2628
735	7301	2618
736	7311	2609
737	7322	2599
738	7332	2589
739	7342	2579
740	7353	2570
741	7363	2560
742	7373	2550
743	7383	2540
744	7393	2530
745	7403	2520
746	7413	2510
747	7424	2501
748	7434	2491
749	7445	2481
750	7455	2472
751	7466	2462
752	7476	2452
753	7487	2442
754	7497	2433
755	7508	2423
756	7518	2413
757	7529	2404
758	7540	2394
759	7550	2384
760	7561	2374
761	7571	2364
762	7582	2355
763	7602	2348
764	7613	2338
765	7623	2328
766	7632	2318
767	7643	2308
768	7653	2298
769	7662	2288
770	7673	2279
771	7682	2268
772	7692	2258
773	7701	2248
774	7711	2238
775	7722	2229
776	7731	2218
777	7741	2208
778	7750	2198
779	7760	2188
780	7768	2178
781	7779	2168
782	7789	2158
783	7799	2148
784	7809	2138
785	7818	2128
786	7827	2118
787	7836	2108
788	7846	2098
789	7855	2088
790	7865	2078
791	7883	2070
792	7893	2060
793	7904	2050
794	7915	2041
795	7925	2031
796	7936	2021
797	7948	2011
798	7958	2002
799	7969	1992
800	7980	1982
801	7992	1973
802	8004	1963
803	8015	1953
804	8025	1944
805	8035	1934
806	8046	1924
807	8056	1914
808	8067	1904
809	8078	1895
810	8090	1885
811	8101	1875
812	8112	1866
813	8123	1856
814	8133	1846
815	8143	1836
816	8154	1826
817	8166	1817
818	8178	1807
819	8189	1797
820	8200	1787
821	8210	1778
822	8221	1768
823	8232	1758
824	8243	1748
825	8253	1738
826	8263	1728
827	8274	1718
828	8284	1708
829	8295	1699
830	8305	1689
831	8316	1679
832	8326	1669
833	8336	1659
834	8347	1649
835	8357	1639
836	8368	1629
837	8378	1619
838	8388	1609
839	8399	1599
840	8413	1590
841	8424	1580
842	8435	1571
843	8446	1561
844	8456	1551
845	8466	1541
846	8477	1531
847	8489	1521
848	8500	1511
849	8511	1501
850	8521	1492
851	8532	1482
852	8543	1472
853	8554	1462
854	8565	1452
855	8577	1442
856	8588	1433
857	8599	1423
858	8609	1413
859	8621	1403
860	8631	1393
861	8642	1383
862	8653	1373
863	8665	1363
864	8675	1353
865	8686	1344
866	8696	1334
867	8706	1323
868	8716	1314
869	8727	1304
870	8738	1294
871	8747	1284
872	8757	1274
873	8768	1264
874	8778	1254
875	8788	1244
876	8798	1233
877	8807	1223
878	8817	1213
879	8826	1203
880	8837	1193
881	8847	1183
882	8857	1173
883	8866	1163
884	8875	1153
885	8885	1143
886	8894	1133
887	8903	1123
888	8913	1112
889	8922	1102
890	8931	1092
891	8941	1082
892	8951	1072
893	8960	1062
894	8970	1052
895	8981	1042
896	8991	1032
897	9001	1022
898	9012	1012
899	9023	1002
900	9034	992
901	9045	982
902	9057	972
903	9067	962
904	9079	953
905	9089	943
906	9099	933
907	9109	922
908	9119	912
909	9129	902
910	9139	892
911	9149	882
912	9158	872
913	9167	862
914	9177	852
915	9187	842
916	9197	832
917	9206	822
918	9216	812
919	9226	802
920	9237	792
921	9249	782
922	9259	772
923	9269	762
924	9280	752
925	9290	742
926	9300	732
927	9309	722
928	9320	712
929	9331	702
930	9342	692
931	9352	682
932	9364	672
933	9374	662
934	9385	652
935	9396	642
936	9407	632
937	9418	622
938	9428	612
939	9439	602
940	9449	592
941	9461	582
942	9471	572
943	9482	562
944	9491	552
945	9500	542
946	9510	532
947	9520	522
948	9531	512
949	9540	502
950	9550	492
951	9560	482
952	9571	472
953	9582	462
954	9592	452
955	9604	442
956	9615	432
957	9626	422
958	9636	411
959	9646	401
960	9656	391
961	9666	381
962	9676	371
963	9685	361
964	9695	351
965	9704	341
966	9714	331
967	9724	321
968	9733	311
969	9742	301
970	9751	291
971	9761	281
972	9771	271
973	9780	261
974	9790	251
975	9799	240
976	9809	230
977	9819	220
978	9828	210
979	9837	200
980	9846	190
981	9856	180
982	9865	170
983	9874	160
984	9883	150
985	9893	140
986	9902	130
987	9911	120
988	9920	110
989	9929	100
990	9939	90
991	9948	80
992	9958	70
993	9968	60
994	9978	50
995	9987	40
996	9997	30
997	10008	20
998	10019	10
999	10031	0
