iter	Logloss
0	0.6630854368
1	0.6346516062
2	0.6079632043
3	0.5849447211
4	0.5634236459
5	0.5449754117
6	0.5271486399
7	0.5106364444
8	0.4962837847
9	0.4830524925
10	0.470948032
11	0.4599075847
12	0.44887694
13	0.4399505375
14	0.4308836769
15	0.4230615584
16	0.415801078
17	0.4093922743
18	0.4030141347
19	0.3970194766
20	0.3916313651
21	0.3860570111
22	0.3809204171
23	0.3761960312
24	0.3718128586
25	0.3679192878
26	0.3646395448
27	0.3618606668
28	0.3590387268
29	0.356461579
30	0.3540951799
31	0.3509063285
32	0.3488167721
33	0.3462367629
34	0.343808318
35	0.3416185252
36	0.3392529702
37	0.3377041748
38	0.3354641099
39	0.3328341629
40	0.3311989612
41	0.32928209
42	0.328258904
43	0.3268436784
44	0.3256888769
45	0.3240358821
46	0.3227184133
47	0.3209624315
48	0.3196171748
49	0.3180661402
50	0.3172274945
51	0.3162868664
52	0.3156988738
53	0.3150710636
54	0.3137840553
55	0.3128334524
56	0.3117999122
57	0.3110814945
58	0.3103544696
59	0.3096265363
60	0.3089867321
61	0.3081687471
62	0.3074409114
63	0.3068289306
64	0.3062899539
65	0.3056042374
66	0.3050766593
67	0.3044739855
68	0.3039059897
69	0.3028570252
70	0.3020291651
71	0.3014900892
72	0.3007516376
73	0.3002342564
74	0.299748732
75	0.299010208
76	0.2980718863
77	0.2973769169
78	0.2969222805
79	0.2961229006
80	0.2957159912
81	0.2950101905
82	0.2945332888
83	0.2941822774
84	0.293685959
85	0.2932513183
86	0.292587092
87	0.2920957698
88	0.291626405
89	0.2913249456
90	0.2906435169
91	0.2899560014
92	0.2892127297
93	0.2887890021
94	0.2880594708
95	0.2875926581
96	0.2872556996
97	0.2867922797
98	0.2864726128
99	0.2860437988
100	0.2857025026
101	0.2851771942
102	0.2847183265
103	0.2841492978
104	0.2838648026
105	0.2835140897
106	0.283186233
107	0.2826814943
108	0.2824625899
109	0.2820810821
110	0.281751394
111	0.2812787402
112	0.2810407605
113	0.2806798931
114	0.2802286039
115	0.2799116398
116	0.2793567348
117	0.2788890337
118	0.2783913056
119	0.2781870216
120	0.2777288022
121	0.277508577
122	0.2771802525
123	0.2769070522
124	0.2766375411
125	0.2763538746
126	0.2760495942
127	0.2757300684
128	0.2753504654
129	0.2750346196
130	0.2747407655
131	0.2743337185
132	0.2739983599
133	0.2731692967
134	0.2729392424
135	0.2726430702
136	0.2722663971
137	0.2719936808
138	0.2716982329
139	0.271335669
140	0.2710413715
141	0.2708690613
142	0.2706228031
143	0.2704288063
144	0.2699646571
145	0.269676843
146	0.2692818428
147	0.2689883602
148	0.268689898
149	0.2685212501
150	0.2682950106
151	0.2680243076
152	0.2675560974
153	0.2673095929
154	0.2670345565
155	0.2668439049
156	0.2665990754
157	0.2662450198
158	0.2659804448
159	0.2658016414
160	0.2655091524
161	0.2653056315
162	0.2649926809
163	0.2647834685
164	0.2644477672
165	0.2642388077
166	0.2638814589
